2 100 100 100
0 32 88 20 250
1 4 13 20 168
2 62 17 20 206
3 23 1 20 250
4 48 92 20 250
5 7 8 20 250
6 56 93 20 250
7 54 8 20 250
8 99 66 20 202
9 62 2 20 250
10 29 93 20 250
11 44 12 20 146
12 45 99 20 250
13 40 1 20 115
14 50 9 20 250
15 93 3 20 250
16 38 78 20 250
17 69 80 20 250
18 52 53 20 250
19 95 94 20 250
20 69 41 20 250
21 32 90 20 250
22 59 50 20 250
23 58 84 20 250
24 6 35 20 250
25 72 26 20 250
26 28 50 20 145
27 52 78 20 250
28 80 96 20 250
29 18 14 20 250
30 96 43 20 250
31 5 51 20 250
32 31 86 20 250
33 52 66 20 250
34 2 0 20 250
35 67 0 20 250
36 90 28 20 250
37 97 48 20 250
38 64 53 20 250
39 50 47 20 250
40 42 2 20 250
41 90 43 20 176
42 94 49 20 250
43 69 57 20 250
44 49 1 20 250
45 26 50 20 250
46 60 75 20 154
47 63 21 20 101
48 3 38 20 250
49 11 63 20 250
50 48 43 20 166
51 38 75 20 250
52 80 72 20 250
53 42 34 20 143
54 34 11 20 250
55 59 64 20 250
56 60 40 20 250
57 18 93 20 250
58 61 53 20 250
59 83 87 20 250
60 89 26 20 250
61 85 23 20 161
62 88 81 20 200
63 67 75 20 154
64 39 71 20 167
65 28 84 20 250
66 10 49 20 250
67 28 25 20 250
68 15 86 20 250
69 2 4 20 250
70 40 30 20 250
71 55 44 20 250
72 55 85 20 250
73 86 21 20 250
74 95 74 20 250
75 10 60 20 250
76 15 47 20 250
77 28 99 20 171
78 43 42 20 250
79 77 73 20 190
80 75 45 20 250
81 24 71 20 174
82 76 78 20 250
83 62 56 20 76
84 14 63 20 250
85 79 23 20 250
86 28 34 20 250
87 48 45 20 250
88 42 37 20 154
89 26 41 20 129
90 79 46 20 250
91 36 84 20 242
92 94 81 20 250
93 64 89 20 250
94 90 9 20 147
95 26 15 20 250
96 74 14 20 114
97 94 7 20 250
98 59 97 20 250
99 78 81 20 199
