5 100 100 100
0 84 23 20 194
1 75 52 20 250
2 89 91 20 250
3 42 34 20 250
4 44 34 20 250
5 78 71 20 250
6 50 17 20 250
7 95 5 20 250
8 35 8 20 168
9 21 14 20 250
10 24 74 20 187
11 9 77 20 176
12 51 87 20 203
13 72 82 20 250
14 62 69 20 250
15 90 55 20 250
16 99 64 20 203
17 97 14 20 107
18 57 30 20 250
19 85 12 20 250
20 85 59 20 250
21 0 19 20 250
22 12 51 20 250
23 47 16 20 250
24 16 59 20 161
25 76 47 20 250
26 47 67 20 250
27 90 32 20 136
28 87 65 20 250
29 83 96 20 250
30 20 2 20 108
31 93 69 20 250
32 48 74 20 250
33 49 95 20 250
34 8 89 20 250
35 10 88 20 193
36 77 63 20 250
37 89 39 20 250
38 2 25 20 186
39 38 62 20 250
40 82 34 20 158
41 41 65 20 250
42 34 5 20 250
43 44 63 20 123
44 24 20 20 145
45 42 4 20 250
46 59 46 20 250
47 49 72 20 210
48 51 70 20 250
49 5 24 20 250
50 25 4 20 250
51 12 87 20 250
52 32 93 20 250
53 23 84 20 250
54 51 79 20 250
55 3 83 20 250
56 7 16 20 158
57 58 50 20 250
58 94 37 20 250
59 96 6 20 250
60 82 23 20 250
61 57 47 20 250
62 84 80 20 178
63 9 28 20 250
64 39 55 20 250
65 51 37 20 250
66 77 83 20 250
67 48 48 20 250
68 86 54 20 250
69 44 62 20 250
70 24 23 20 250
71 23 59 20 250
72 32 25 20 250
73 17 32 20 188
74 98 11 20 250
75 93 53 20 250
76 1 70 20 250
77 64 88 20 167
78 58 38 20 250
79 30 10 20 187
80 86 21 20 250
81 30 9 20 250
82 39 37 20 141
83 46 54 20 250
84 19 61 20 250
85 87 96 20 250
86 41 20 20 250
87 90 3 20 118
88 38 94 20 250
89 89 75 20 250
90 47 19 20 250
91 77 93 20 205
92 5 98 20 250
93 16 48 20 250
94 46 99 20 250
95 44 68 20 250
96 87 33 20 250
97 6 49 20 183
98 20 84 20 250
99 6 71 20 250
