5 100 100 100
0 12 25 20 183
1 84 8 20 167
2 96 11 20 255
3 16 67 20 255
4 57 96 20 255
5 84 24 20 201
6 74 99 20 255
7 18 49 20 255
8 97 28 20 255
9 44 57 20 203
10 95 26 20 255
11 70 80 20 255
12 80 23 20 173
13 10 51 20 255
14 8 37 20 255
15 67 22 20 255
16 27 42 20 173
17 21 51 20 160
18 2 22 20 255
19 20 11 20 255
20 30 86 20 235
21 8 21 20 142
22 91 49 20 255
23 2 99 20 182
24 25 90 20 255
25 38 58 20 195
26 75 67 20 190
27 9 26 20 255
28 46 29 20 255
29 97 58 20 255
30 40 38 20 255
31 15 66 20 162
32 71 6 20 255
33 52 22 20 255
34 72 43 20 167
35 78 20 20 203
36 9 55 20 189
37 7 95 20 255
38 16 59 20 184
39 88 14 20 192
40 17 92 20 207
41 44 12 20 255
42 28 98 20 201
43 95 14 20 173
44 43 86 20 255
45 14 76 20 170
46 43 46 20 156
47 64 49 20 255
48 55 41 20 255
49 67 21 20 255
50 77 49 20 255
51 49 73 20 214
52 10 67 20 255
53 47 10 20 179
54 33 13 20 255
55 17 79 20 255
56 80 56 20 190
57 96 81 20 216
58 42 23 20 255
59 28 29 20 140
60 1 36 20 255
61 41 33 20 160
62 72 28 20 158
63 54 5 20 255
64 65 10 20 255
65 89 44 20 255
66 30 17 20 141
67 94 79 20 255
68 69 44 20 179
69 63 93 20 206
70 19 4 20 255
71 45 2 20 255
72 73 68 20 209
73 89 23 20 156
74 46 56 20 169
75 54 38 20 255
76 86 96 20 215
77 58 72 20 198
78 15 37 20 255
79 0 55 20 255
80 44 54 20 255
81 58 7 20 89
82 14 65 20 255
83 81 5 20 142
84 6 60 20 210
85 31 78 20 255
86 53 99 20 201
87 27 94 20 255
88 2 1 20 255
89 99 4 20 176
90 40 91 20 167
91 31 86 20 210
92 48 10 20 240
93 70 59 20 185
94 21 56 20 205
95 11 97 20 255
96 63 37 20 255
97 6 91 20 214
98 17 32 20 255
99 5 64 20 186
