2 100 100 100
0 5 38 20 255
1 60 54 20 168
2 93 89 20 154
3 81 82 20 182
4 70 78 20 255
5 51 60 20 140
6 99 91 20 255
7 49 51 20 137
8 70 38 20 202
9 11 10 20 189
10 56 66 20 171
11 91 70 20 216
12 66 5 20 186
13 63 3 20 209
14 53 51 20 255
15 47 32 20 255
16 31 15 20 124
17 50 68 20 255
18 52 54 20 160
19 56 60 20 255
20 22 48 20 170
21 37 35 20 196
22 16 98 20 213
23 12 52 20 212
24 70 58 20 179
25 73 67 20 255
26 36 44 20 196
27 2 71 20 175
28 54 17 20 130
29 34 52 20 152
30 31 94 20 216
31 86 42 20 148
32 82 38 20 122
33 28 94 20 197
34 33 2 20 176
35 99 57 20 156
36 22 91 20 255
37 89 18 20 255
38 5 41 20 255
39 29 52 20 150
40 91 38 20 255
41 88 90 20 183
42 88 17 20 193
43 83 96 20 176
44 72 3 20 168
45 43 91 20 202
46 48 38 20 172
47 85 56 20 209
48 93 13 20 148
49 70 99 20 193
50 58 62 20 255
51 34 83 20 173
52 43 9 20 157
53 50 42 20 181
54 38 46 20 180
55 96 34 20 147
56 77 16 20 147
57 38 78 20 197
58 62 2 20 97
59 90 40 20 191
60 15 83 20 199
61 0 53 20 187
62 11 90 20 192
63 76 76 20 255
64 91 63 20 159
65 4 87 20 241
66 70 40 20 169
67 18 43 20 158
68 26 16 20 150
69 47 62 20 255
70 20 70 20 166
71 87 44 20 195
72 55 35 20 255
73 29 95 20 204
74 6 71 20 201
75 80 13 20 255
76 48 78 20 255
77 84 49 20 119
78 40 86 20 218
79 90 29 20 190
80 95 36 20 255
81 69 20 20 160
82 23 9 20 255
83 2 15 20 158
84 46 83 20 198
85 53 73 20 255
86 25 65 20 255
87 66 83 20 155
88 39 10 20 255
89 46 71 20 152
90 40 37 20 194
91 23 54 20 189
92 79 3 20 207
93 76 72 20 183
94 36 22 20 255
95 82 88 20 183
96 56 6 20 187
97 56 26 20 255
98 48 29 20 130
99 41 10 20 212
