2 100 100 100
0 68 86 20 170
1 22 22 20 190
2 64 60 20 153
3 89 4 20 144
4 92 64 20 193
5 25 67 20 250
6 80 8 20 250
7 87 18 20 250
8 3 63 20 193
9 28 50 20 154
10 51 9 20 113
11 12 64 20 250
12 84 90 20 250
13 35 13 20 157
14 82 78 20 199
15 67 85 20 199
16 29 84 20 188
17 53 65 20 250
18 75 61 20 250
19 33 88 20 250
20 1 93 20 250
21 5 22 20 250
22 52 93 20 250
23 63 17 20 250
24 83 91 20 250
25 94 0 20 250
26 81 47 20 250
27 30 13 20 133
28 92 11 20 250
29 41 79 20 250
30 82 67 20 167
31 4 3 20 127
32 89 36 20 250
33 97 54 20 250
34 44 35 20 148
35 85 7 20 250
36 64 46 20 250
37 11 59 20 164
38 33 99 20 250
39 6 99 20 250
40 60 24 20 250
41 47 59 20 250
42 77 30 20 184
43 17 76 20 250
44 93 37 20 141
45 69 55 20 228
46 69 63 20 216
47 45 52 20 250
48 86 90 20 203
49 57 58 20 172
50 12 56 20 250
51 12 12 20 198
52 29 82 20 180
53 1 45 20 195
54 46 73 20 128
55 58 61 20 174
56 73 9 20 122
57 58 29 20 250
58 15 11 20 250
59 75 42 20 250
60 7 71 20 205
61 55 37 20 250
62 33 47 20 117
63 60 38 20 250
64 76 12 20 250
65 68 59 20 250
66 81 3 20 164
67 98 92 20 250
68 60 15 20 137
69 27 41 20 163
70 66 17 20 212
71 33 31 20 250
72 82 25 20 250
73 10 17 20 151
74 50 69 20 196
75 14 92 20 201
76 49 0 20 250
77 58 11 20 174
78 94 65 20 250
79 5 57 20 250
80 44 66 20 250
81 1 99 20 200
82 81 36 20 182
83 23 29 20 125
84 18 28 20 250
85 49 21 20 85
86 17 49 20 175
87 25 69 20 163
88 2 29 20 177
89 18 7 20 139
90 96 59 20 250
91 74 2 20 250
92 63 75 20 170
93 23 51 20 250
94 51 44 20 250
95 88 78 20 205
96 37 15 20 250
97 1 71 20 250
98 42 83 20 250
99 11 78 20 176
