3 100 100 100
0 89 91 20 173
1 81 95 20 196
2 11 59 20 173
3 75 46 20 250
4 0 79 20 227
5 37 11 20 184
6 40 38 20 158
7 74 16 20 250
8 61 11 20 250
9 38 62 20 194
10 40 67 20 189
11 93 28 20 250
12 4 21 20 178
13 21 56 20 207
14 9 58 20 168
15 42 69 20 187
16 17 66 20 196
17 10 43 20 201
18 57 21 20 111
19 81 37 20 250
20 47 27 20 148
21 52 9 20 250
22 11 93 20 193
23 41 23 20 185
24 32 40 20 250
25 6 40 20 209
26 37 69 20 146
27 72 74 20 250
28 25 52 20 168
29 99 92 20 208
30 56 27 20 250
31 97 74 20 250
32 92 23 20 196
33 63 35 20 104
34 41 65 20 232
35 79 37 20 154
36 93 90 20 226
37 60 84 20 156
38 32 12 20 250
39 85 40 20 179
40 91 66 20 183
41 98 67 20 250
42 80 80 20 200
43 81 5 20 118
44 58 76 20 205
45 68 26 20 121
46 59 22 20 179
47 34 3 20 158
48 41 98 20 250
49 73 11 20 161
50 1 87 20 222
51 36 89 20 188
52 15 96 20 183
53 79 26 20 250
54 98 76 20 199
55 76 29 20 164
56 95 8 20 109
57 40 12 20 250
58 2 28 20 250
59 15 34 20 250
60 97 70 20 189
61 32 66 20 195
62 11 86 20 250
63 21 15 20 167
64 8 7 20 218
65 40 82 20 178
66 66 93 20 181
67 60 45 20 148
68 36 82 20 231
69 83 74 20 138
70 51 94 20 186
71 44 24 20 162
72 99 70 20 250
73 4 54 20 237
74 19 28 20 143
75 82 6 20 145
76 62 97 20 178
77 49 62 20 167
78 18 53 20 250
79 71 41 20 140
80 2 11 20 226
81 39 20 20 127
82 84 29 20 105
83 67 37 20 143
84 69 55 20 210
85 89 86 20 207
86 53 93 20 174
87 12 15 20 190
88 84 80 20 240
89 91 70 20 183
90 24 89 20 250
91 94 63 20 169
92 28 13 20 250
93 53 43 20 151
94 12 49 20 250
95 55 55 20 176
96 34 93 20 250
97 99 82 20 202
98 51 28 20 250
99 9 9 20 134
