2 100 100 100
0 69 0 20 255
1 8 97 20 255
2 81 85 20 230
3 94 63 20 255
4 45 51 20 193
5 2 81 20 255
6 86 57 20 255
7 93 34 20 255
8 55 17 20 255
9 26 53 20 255
10 27 48 20 255
11 94 70 20 194
12 78 60 20 255
13 13 69 20 255
14 74 98 20 181
15 70 11 20 145
16 80 51 20 255
17 91 59 20 255
18 54 80 20 200
19 47 70 20 255
20 64 58 20 255
21 1 64 20 255
22 95 84 20 176
23 29 68 20 161
24 90 55 20 255
25 87 30 20 203
26 39 2 20 255
27 84 19 20 255
28 50 80 20 255
29 65 73 20 142
30 37 56 20 255
31 44 46 20 255
32 16 9 20 255
33 6 68 20 194
34 98 15 20 167
35 7 51 20 187
36 45 89 20 255
37 91 23 20 255
38 38 24 20 255
39 34 16 20 255
40 0 85 20 255
41 64 87 20 255
42 39 43 20 255
43 7 8 20 223
44 78 98 20 255
45 68 87 20 179
46 18 8 20 255
47 76 12 20 255
48 62 89 20 255
49 15 79 20 195
50 27 66 20 255
51 34 48 20 255
52 98 14 20 255
53 70 73 20 255
54 85 26 20 255
55 42 58 20 255
56 55 19 20 255
57 95 13 20 255
58 7 55 20 255
59 68 91 20 255
60 39 40 20 180
61 8 70 20 255
62 40 53 20 255
63 94 23 20 127
64 14 43 20 255
65 0 77 20 255
66 43 27 20 148
67 53 31 20 255
68 57 95 20 255
69 49 78 20 255
70 87 2 20 255
71 48 53 20 255
72 53 94 20 255
73 90 24 20 150
74 84 53 20 186
75 66 22 20 255
76 25 40 20 255
77 14 3 20 255
78 51 61 20 255
79 75 1 20 255
80 52 19 20 255
81 27 9 20 255
82 5 92 20 255
83 91 70 20 255
84 38 31 20 255
85 72 75 20 255
86 93 67 20 255
87 30 23 20 151
88 91 45 20 255
89 31 63 20 221
90 73 62 20 153
91 18 63 20 255
92 80 97 20 255
93 19 65 20 255
94 40 77 20 255
95 8 13 20 255
96 98 43 20 255
97 70 94 20 255
98 49 14 20 255
99 67 22 20 108
