5 100 100 100
0 39 34 20 255
1 2 22 20 236
2 17 55 20 255
3 14 12 20 255
4 15 88 20 211
5 3 50 20 255
6 83 50 20 189
7 18 83 20 255
8 97 25 20 209
9 1 37 20 255
10 98 84 20 224
11 94 20 20 255
12 22 76 20 255
13 21 53 20 255
14 29 67 20 172
15 91 40 20 255
16 33 61 20 167
17 99 0 20 255
18 91 86 20 255
19 96 60 20 255
20 89 48 20 255
21 8 3 20 255
22 79 92 20 255
23 12 70 20 255
24 31 55 20 255
25 35 70 20 255
26 20 59 20 255
27 73 85 20 255
28 54 63 20 190
29 54 21 20 255
30 45 61 20 255
31 33 84 20 255
32 30 72 20 255
33 12 8 20 102
34 27 73 20 203
35 9 83 20 255
36 95 23 20 255
37 66 63 20 255
38 91 42 20 255
39 89 23 20 255
40 10 86 20 255
41 8 42 20 255
42 66 90 20 255
43 69 98 20 255
44 52 12 20 255
45 58 94 20 255
46 93 1 20 255
47 75 0 20 132
48 80 76 20 203
49 81 53 20 189
50 61 99 20 255
51 96 23 20 255
52 35 18 20 75
53 36 26 20 255
54 86 16 20 255
55 22 28 20 172
56 82 6 20 255
57 82 90 20 255
58 17 99 20 255
59 68 35 20 172
60 29 54 20 255
61 64 91 20 207
62 59 30 20 255
63 27 10 20 201
64 45 4 20 98
65 53 69 20 255
66 85 3 20 116
67 49 50 20 255
68 51 45 20 255
69 56 71 20 255
70 7 94 20 255
71 22 16 20 255
72 17 74 20 255
73 46 90 20 255
74 4 29 20 255
75 85 45 20 255
76 77 54 20 255
77 78 98 20 246
78 14 74 20 203
79 5 38 20 138
80 21 98 20 255
81 2 62 20 255
82 79 35 20 255
83 81 35 20 175
84 95 47 20 206
85 93 0 20 255
86 44 73 20 255
87 2 36 20 255
88 85 7 20 255
89 68 37 20 255
90 22 71 20 255
91 5 6 20 255
92 96 84 20 255
93 51 73 20 255
94 2 59 20 255
95 48 94 20 255
96 6 78 20 255
97 10 1 20 255
98 32 42 20 255
99 24 27 20 255
