5 100 100 100
0 42 2 20 270
1 10 35 20 270
2 28 99 20 270
3 78 96 20 167
4 13 59 20 270
5 32 4 20 270
6 52 22 20 170
7 36 6 20 270
8 33 87 20 270
9 24 62 20 270
10 88 54 20 270
11 2 47 20 270
12 50 24 20 270
13 15 6 20 270
14 0 43 20 270
15 87 66 20 270
16 20 73 20 270
17 67 12 20 270
18 47 64 20 270
19 89 39 20 270
20 93 44 20 270
21 18 82 20 270
22 34 60 20 270
23 96 15 20 270
24 70 27 20 270
25 75 0 20 270
26 17 59 20 181
27 74 92 20 270
28 89 45 20 202
29 39 91 20 192
30 11 33 20 270
31 83 75 20 270
32 28 27 20 270
33 41 68 20 188
34 40 71 20 270
35 75 55 20 270
36 64 21 20 270
37 58 76 20 270
38 69 70 20 270
39 63 41 20 270
40 18 48 20 212
41 65 55 20 270
42 64 13 20 270
43 19 79 20 190
44 6 56 20 270
45 48 58 20 270
46 23 20 20 270
47 29 23 20 270
48 10 53 20 270
49 49 30 20 270
50 89 89 20 270
51 55 3 20 270
52 35 36 20 158
53 93 36 20 270
54 56 60 20 270
55 65 72 20 270
56 32 68 20 270
57 60 41 20 270
58 67 4 20 133
59 35 37 20 270
60 48 82 20 270
61 30 9 20 162
62 93 13 20 135
63 45 31 20 270
64 24 12 20 270
65 35 82 20 184
66 40 81 20 270
67 61 88 20 188
68 13 95 20 270
69 43 32 20 270
70 23 29 20 270
71 42 10 20 130
72 62 38 20 194
73 34 4 20 270
74 52 50 20 170
75 68 58 20 270
76 52 8 20 270
77 13 18 20 270
78 58 87 20 270
79 89 71 20 270
80 7 42 20 156
81 90 21 20 270
82 63 27 20 270
83 70 38 20 212
84 67 55 20 160
85 3 7 20 211
86 42 21 20 226
87 39 5 20 270
88 0 81 20 270
89 20 43 20 270
90 21 42 20 192
91 85 22 20 270
92 29 0 20 270
93 28 16 20 270
94 84 42 20 270
95 67 90 20 270
96 81 76 20 270
97 23 57 20 215
98 96 16 20 168
99 44 12 20 270
