3 100 100 100
0 42 4 20 183
1 72 0 20 250
2 28 30 20 250
3 84 41 20 250
4 70 89 20 250
5 15 2 20 250
6 91 37 20 194
7 46 11 20 159
8 15 72 20 250
9 22 99 20 250
10 59 72 20 250
11 58 21 20 137
12 78 16 20 250
13 17 47 20 163
14 33 82 20 250
15 47 75 20 203
16 9 63 20 177
17 96 65 20 197
18 46 67 20 181
19 40 6 20 250
20 67 9 20 250
21 26 26 20 173
22 77 94 20 225
23 26 53 20 250
24 65 42 20 205
25 1 44 20 150
26 27 11 20 250
27 37 68 20 250
28 25 62 20 183
29 90 28 20 250
30 9 46 20 250
31 65 7 20 134
32 95 92 20 250
33 36 78 20 250
34 75 61 20 242
35 7 0 20 123
36 12 22 20 172
37 14 32 20 124
38 6 41 20 250
39 27 68 20 176
40 97 98 20 250
41 86 55 20 250
42 59 17 20 250
43 5 30 20 177
44 47 60 20 245
45 54 4 20 250
46 68 2 20 250
47 26 19 20 250
48 90 50 20 158
49 12 8 20 100
50 99 65 20 250
51 37 74 20 165
52 47 26 20 203
53 11 88 20 250
54 86 51 20 250
55 56 89 20 250
56 8 38 20 250
57 66 28 20 250
58 3 68 20 250
59 9 26 20 250
60 64 59 20 206
61 26 43 20 170
62 80 67 20 204
63 21 73 20 250
64 89 77 20 217
65 62 94 20 250
66 37 77 20 183
67 99 55 20 198
68 46 32 20 177
69 63 56 20 141
70 80 52 20 250
71 24 13 20 96
72 93 44 20 223
73 13 65 20 250
74 71 97 20 217
75 68 45 20 250
76 89 30 20 250
77 77 92 20 217
78 79 54 20 187
79 64 68 20 145
80 74 79 20 159
81 3 53 20 203
82 53 1 20 250
83 40 67 20 250
84 94 18 20 250
85 72 25 20 187
86 39 47 20 178
87 26 25 20 91
88 91 95 20 227
89 21 67 20 250
90 75 75 20 250
91 72 64 20 250
92 61 53 20 182
93 81 73 20 250
94 99 33 20 250
95 95 86 20 216
96 75 62 20 165
97 79 30 20 168
98 71 1 20 250
99 0 97 20 250
