7 100 100 100
0 52 4 20 184
1 46 38 20 169
2 42 79 20 209
3 70 2 20 188
4 2 10 20 220
5 10 11 20 187
6 81 7 20 165
7 59 83 20 187
8 81 85 20 230
9 49 6 20 138
10 6 61 20 223
11 5 92 20 207
12 81 17 20 190
13 24 16 20 110
14 97 57 20 225
15 65 13 20 170
16 81 68 20 201
17 82 80 20 217
18 75 40 20 235
19 57 51 20 155
20 7 13 20 203
21 90 21 20 229
22 69 56 20 160
23 66 11 20 137
24 86 67 20 180
25 18 87 20 221
26 50 38 20 144
27 46 23 20 158
28 6 49 20 162
29 41 76 20 204
30 36 57 20 179
31 97 93 20 227
32 99 66 20 175
33 93 0 20 185
34 27 49 20 194
35 80 57 20 140
36 34 72 20 192
37 78 87 20 202
38 29 67 20 194
39 29 0 20 153
40 18 66 20 223
41 80 56 20 147
42 10 25 20 212
43 36 29 20 189
44 68 3 20 136
45 0 21 20 233
46 36 60 20 175
47 92 61 20 199
48 95 22 20 216
49 24 39 20 158
50 28 71 20 199
51 34 32 20 197
52 88 18 20 152
53 73 65 20 140
54 91 27 20 204
55 49 83 20 199
56 71 69 20 162
57 4 13 20 236
58 50 75 20 184
59 83 98 20 223
60 31 66 20 225
61 94 48 20 215
62 42 51 20 146
63 22 13 20 156
64 97 88 20 206
65 13 60 20 222
66 92 94 20 194
67 33 87 20 213
68 33 73 20 202
69 89 29 20 183
70 17 56 20 171
71 31 80 20 220
72 68 51 20 159
73 63 91 20 227
74 32 49 20 181
75 31 10 20 132
76 9 20 20 229
77 89 21 20 160
78 38 64 20 218
79 5 65 20 183
80 37 63 20 199
81 74 42 20 177
82 9 60 20 182
83 69 75 20 200
84 29 94 20 185
85 27 29 20 158
86 86 47 20 184
87 11 31 20 192
88 45 57 20 173
89 31 23 20 211
90 99 88 20 195
91 48 80 20 188
92 26 49 20 182
93 22 83 20 243
94 29 24 20 216
95 62 39 20 212
96 69 45 20 197
97 63 46 20 195
98 54 10 20 155
99 95 86 20 207
