3 100 100 100
0 88 34 20 300
1 67 30 20 300
2 47 35 20 237
3 88 8 20 186
4 96 31 20 300
5 30 3 20 183
6 90 28 20 215
7 77 72 20 213
8 50 22 20 153
9 68 75 20 225
10 28 69 20 194
11 12 42 20 174
12 45 24 20 300
13 2 54 20 249
14 20 67 20 300
15 13 21 20 300
16 7 94 20 242
17 94 69 20 300
18 95 47 20 244
19 64 45 20 162
20 13 55 20 228
21 80 86 20 300
22 19 12 20 186
23 81 96 20 216
24 37 46 20 206
25 93 75 20 230
26 81 56 20 269
27 0 73 20 227
28 99 2 20 300
29 39 25 20 300
30 39 10 20 180
31 18 47 20 300
32 61 24 20 165
33 63 51 20 300
34 85 54 20 204
35 45 56 20 168
36 8 89 20 300
37 16 90 20 300
38 36 94 20 300
39 71 71 20 300
40 29 70 20 205
41 58 96 20 300
42 86 89 20 231
43 84 24 20 300
44 57 21 20 300
45 60 51 20 300
46 7 87 20 231
47 71 1 20 180
48 56 26 20 129
49 16 13 20 229
50 3 54 20 300
51 0 20 20 300
52 63 93 20 188
53 15 55 20 184
54 40 4 20 151
55 65 82 20 173
56 65 5 20 193
57 10 83 20 300
58 40 24 20 300
59 19 19 20 244
60 57 28 20 141
61 73 92 20 168
62 68 40 20 300
63 25 53 20 300
64 25 99 20 243
65 63 82 20 293
66 22 97 20 264
67 73 71 20 300
68 12 32 20 300
69 20 56 20 300
70 44 0 20 300
71 9 4 20 145
72 33 27 20 300
73 85 64 20 300
74 26 69 20 300
75 43 51 20 300
76 49 11 20 300
77 83 75 20 240
78 84 55 20 300
79 4 93 20 300
80 49 44 20 300
81 32 15 20 300
82 64 64 20 215
83 96 53 20 300
84 89 49 20 204
85 59 23 20 300
86 11 32 20 300
87 40 12 20 300
88 81 17 20 184
89 7 38 20 207
90 89 11 20 300
91 38 67 20 300
92 87 67 20 300
93 57 77 20 154
94 76 77 20 300
95 24 79 20 212
96 94 35 20 177
97 21 40 20 300
98 41 31 20 300
99 88 92 20 300
