2 100 100 100
0 26 49 20 184
1 97 4 20 158
2 49 66 20 500
3 16 79 20 500
4 27 71 20 408
5 0 81 20 345
6 56 7 20 500
7 46 0 20 500
8 36 91 20 500
9 3 32 20 310
10 20 73 20 393
11 6 82 20 500
12 99 63 20 319
13 56 65 20 500
14 96 36 20 500
15 3 72 20 500
16 66 66 20 430
17 57 43 20 176
18 90 65 20 500
19 38 40 20 500
20 54 52 20 500
21 12 86 20 299
22 83 26 20 248
23 36 41 20 500
24 14 70 20 500
25 41 84 20 332
26 93 12 20 500
27 19 85 20 500
28 69 52 20 284
29 98 55 20 293
30 75 22 20 291
31 73 98 20 350
32 67 13 20 500
33 50 22 20 303
34 24 80 20 430
35 86 74 20 500
36 63 79 20 500
37 78 85 20 386
38 0 74 20 500
39 37 52 20 99
40 71 9 20 500
41 59 48 20 379
42 33 12 20 500
43 56 97 20 500
44 94 90 20 179
45 86 4 20 337
46 87 46 20 500
47 23 34 20 500
48 32 81 20 500
49 37 47 20 244
50 16 15 20 500
51 89 75 20 331
52 34 40 20 284
53 16 3 20 500
54 56 99 20 500
55 14 59 20 500
56 55 95 20 500
57 45 63 20 202
58 73 70 20 397
59 53 68 20 410
60 31 84 20 500
61 34 47 20 394
62 39 96 20 500
63 31 21 20 500
64 67 90 20 500
65 19 78 20 398
66 49 21 20 500
67 62 52 20 239
68 66 52 20 500
69 65 87 20 302
70 46 12 20 500
71 63 35 20 500
72 13 0 20 263
73 47 82 20 500
74 88 22 20 283
75 35 32 20 500
76 55 74 20 366
77 8 85 20 500
78 40 25 20 316
79 81 7 20 392
80 42 52 20 150
81 62 13 20 500
82 3 75 20 500
83 98 1 20 352
84 44 65 20 362
85 20 53 20 500
86 2 74 20 329
87 71 92 20 500
88 30 21 20 500
89 37 40 20 286
90 46 83 20 352
91 38 23 20 500
92 84 24 20 384
93 74 84 20 369
94 96 21 20 500
95 29 80 20 402
96 6 72 20 246
97 48 87 20 313
98 94 29 20 500
99 52 25 20 279
