3 100 100 100
0 4 22 20 500
1 87 3 20 350
2 16 29 20 500
3 72 1 20 500
4 95 81 20 330
5 88 8 20 500
6 50 49 20 273
7 46 5 20 500
8 78 71 20 274
9 11 69 20 274
10 75 74 20 500
11 53 25 20 161
12 56 35 20 500
13 21 96 20 500
14 32 20 20 500
15 31 86 20 500
16 78 69 20 500
17 14 64 20 500
18 81 6 20 500
19 99 47 20 500
20 78 18 20 500
21 70 73 20 500
22 50 11 20 500
23 29 16 20 500
24 5 18 20 500
25 18 37 20 500
26 93 54 20 500
27 7 75 20 303
28 37 41 20 500
29 41 42 20 182
30 41 3 20 500
31 33 99 20 500
32 3 60 20 500
33 22 92 20 240
34 24 1 20 500
35 29 94 20 500
36 5 51 20 500
37 92 85 20 500
38 42 92 20 500
39 87 96 20 500
40 84 2 20 227
41 8 62 20 500
42 9 4 20 500
43 63 94 20 265
44 77 17 20 500
45 25 32 20 500
46 63 19 20 245
47 6 23 20 500
48 17 5 20 500
49 35 63 20 500
50 65 13 20 500
51 84 65 20 433
52 20 24 20 500
53 58 45 20 500
54 40 21 20 500
55 32 5 20 500
56 99 40 20 500
57 83 95 20 342
58 0 79 20 500
59 19 58 20 500
60 18 81 20 500
61 78 2 20 500
62 19 92 20 500
63 72 78 20 500
64 37 85 20 500
65 89 91 20 500
66 59 37 20 500
67 74 64 20 343
68 56 63 20 500
69 6 1 20 311
70 64 97 20 500
71 1 29 20 500
72 30 81 20 500
73 72 8 20 239
74 42 53 20 227
75 80 93 20 500
76 88 31 20 158
77 70 53 20 244
78 17 19 20 500
79 84 21 20 500
80 79 15 20 500
81 93 38 20 500
82 59 50 20 500
83 23 68 20 500
84 29 52 20 500
85 62 8 20 500
86 63 54 20 343
87 42 95 20 500
88 28 73 20 500
89 9 97 20 368
90 97 42 20 299
91 31 43 20 500
92 7 53 20 248
93 59 41 20 500
94 52 63 20 500
95 71 91 20 500
96 26 87 20 500
97 37 31 20 500
98 62 71 20 355
99 28 81 20 500
