7 100 100 100
0 70 98 20 530
1 82 97 20 410
2 17 22 20 331
3 16 44 20 530
4 80 87 20 530
5 36 53 20 530
6 4 43 20 530
7 7 68 20 530
8 14 66 20 530
9 93 2 20 530
10 90 27 20 530
11 41 48 20 530
12 69 0 20 530
13 52 52 20 227
14 78 23 20 530
15 81 84 20 530
16 39 23 20 530
17 11 93 20 353
18 22 74 20 530
19 15 66 20 530
20 86 28 20 530
21 76 3 20 530
22 25 18 20 530
23 13 83 20 530
24 57 58 20 530
25 90 50 20 530
26 42 99 20 530
27 39 20 20 530
28 52 97 20 314
29 55 69 20 530
30 36 81 20 366
31 36 13 20 530
32 9 20 20 530
33 93 29 20 300
34 46 82 20 375
35 17 49 20 530
36 15 14 20 530
37 70 17 20 530
38 41 30 20 255
39 43 23 20 530
40 3 40 20 344
41 50 90 20 530
42 23 72 20 530
43 31 89 20 530
44 86 49 20 332
45 45 4 20 530
46 96 35 20 530
47 42 48 20 530
48 84 44 20 373
49 52 11 20 530
50 24 98 20 395
51 7 42 20 370
52 53 57 20 530
53 30 27 20 530
54 14 34 20 228
55 49 86 20 530
56 95 95 20 340
57 0 76 20 530
58 69 32 20 530
59 79 0 20 530
60 25 95 20 530
61 68 17 20 246
62 90 0 20 530
63 3 78 20 530
64 59 32 20 227
65 95 0 20 530
66 99 78 20 530
67 8 79 20 530
68 12 40 20 298
69 68 24 20 530
70 47 80 20 530
71 72 19 20 530
72 78 20 20 530
73 26 14 20 530
74 48 10 20 530
75 26 7 20 375
76 15 16 20 381
77 10 88 20 530
78 11 48 20 530
79 17 41 20 530
80 51 15 20 530
81 28 56 20 338
82 32 18 20 523
83 8 31 20 530
84 94 76 20 530
85 48 53 20 530
86 40 11 20 530
87 28 87 20 530
88 68 83 20 530
89 46 0 20 530
90 16 93 20 530
91 57 77 20 530
92 4 72 20 530
93 64 36 20 348
94 70 23 20 530
95 43 51 20 530
96 20 66 20 530
97 57 59 20 530
98 76 99 20 303
99 56 42 20 530
