3 100 100 100
0 5 94 20 356
1 39 31 20 218
2 15 22 20 281
3 24 3 20 331
4 25 18 20 378
5 76 98 20 265
6 11 49 20 354
7 33 41 20 253
8 49 78 20 327
9 42 85 20 355
10 72 61 20 349
11 16 64 20 302
12 89 40 20 302
13 49 50 20 241
14 15 43 20 283
15 81 75 20 254
16 99 13 20 210
17 62 26 20 242
18 93 70 20 427
19 22 25 20 237
20 22 49 20 174
21 63 64 20 283
22 37 79 20 356
23 43 68 20 415
24 11 27 20 292
25 77 56 20 341
26 40 65 20 350
27 76 86 20 256
28 55 18 20 265
29 11 36 20 224
30 82 9 20 443
31 39 39 20 192
32 12 32 20 258
33 82 78 20 280
34 92 99 20 366
35 73 20 20 230
36 47 10 20 359
37 13 95 20 317
38 9 22 20 256
39 58 33 20 427
40 57 49 20 260
41 92 57 20 355
42 27 87 20 362
43 87 96 20 303
44 24 6 20 353
45 86 58 20 325
46 66 54 20 87
47 88 43 20 173
48 65 46 20 347
49 60 46 20 253
50 1 19 20 249
51 44 1 20 259
52 81 22 20 306
53 34 96 20 174
54 85 50 20 314
55 6 17 20 288
56 57 24 20 152
57 58 29 20 318
58 31 47 20 287
59 87 84 20 332
60 64 4 20 267
61 74 91 20 319
62 98 22 20 267
63 13 23 20 265
64 17 11 20 246
65 56 35 20 460
66 28 19 20 355
67 59 50 20 311
68 79 27 20 442
69 85 67 20 483
70 44 30 20 269
71 19 74 20 246
72 91 4 20 253
73 36 68 20 303
74 55 68 20 288
75 22 67 20 258
76 22 16 20 293
77 22 44 20 359
78 72 44 20 400
79 80 3 20 288
80 29 44 20 336
81 46 52 20 195
82 9 43 20 234
83 75 25 20 333
84 18 76 20 232
85 91 95 20 278
86 25 4 20 216
87 82 17 20 224
88 45 74 20 337
89 34 29 20 74
90 62 7 20 286
91 3 38 20 263
92 30 43 20 385
93 83 40 20 386
94 10 22 20 335
95 94 98 20 373
96 32 44 20 170
97 89 30 20 303
98 68 14 20 377
99 86 16 20 195
